"OWNER","TABLE_NAME","COLUMN_NAME","NUM_DISTINCT","LOW_VALUE","HIGH_VALUE","DENSITY","NUM_NULLS","NUM_BUCKETS","LAST_ANALYZED","SAMPLE_SIZE","GLOBAL_STATS","USER_STATS","NOTES","AVG_COL_LEN","HISTOGRAM","SCOPE"
"ADHOC","RUN_OMNI_ACC_ADOPTION","CAMPAIGN_ID_AZ__C",6,4861416F35,5A58485256,0,166666666666667,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",18,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","DPHS_ID",12,4861416F355F5031,5A584852565F5034,0,0833333333333333,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",21,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","CUS_ID",2880,C32935,C50946552B,0,000347222222222222,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",6,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","DUO_ID",2880,4445313030383038,4445444F58435F30323437323033,0,000347222222222222,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",10,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","ACCOUNT_AZ__C",2880,303031305730303030323634596274514145,303031643030303030324158526C76414148,0,000347222222222222,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",19,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","ID",13038,61383735713030303030303030465A414159,61383735713030303030305942523941414F,0,0000766988801963491,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",19,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","START_DT",62,787A0502010101,787B0413010101,0,0161290322580645,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",8,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","END_DT",58,787A0902010101,78820C1F010101,0,0172413793103448,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",8,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","DURATION_IN_DAYS_AZ__C",11,80,C161,0,0909090909090909,10713,1,24.04.23,2325,"YES","NO","STATS_ON_LOAD ",2,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","INITIAL_STAGE__C",1,4E,4E,1,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",2,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","ACTIVE_AZ__C",2,4E,59,0,5,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",2,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","STAGE_SEQUENCE_AZ__C",4,C102,C105,0,25,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",3,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","STATUS_AZ__C",3,434F4D504C45544544,4E4F54204150504C494341424C45,0,333333333333333,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",9,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","CAMPAIGN_END_DATE_AZ__C",5,787B031F010101,78820C1F010101,0,2,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",8,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","DCMP_LINEAR_FLG",1,80,80,1,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",2,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","S_DCMP_DDIV_ID",6,4F4E4B4F5F4C554E475F544B49,5462445F5855707245,0,166666666666667,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",23,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","S_DCMP_PRD_ID",1,31303031353030,31303031353030,1,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",8,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION","CNT",4,C102,C105,0,25,0,1,24.04.23,13038,"YES","NO","STATS_ON_LOAD ",3,"NONE","SHARED"
