"OWNER","TABLE_NAME","COLUMN_NAME","NUM_DISTINCT","LOW_VALUE","HIGH_VALUE","DENSITY","NUM_NULLS","NUM_BUCKETS","LAST_ANALYZED","SAMPLE_SIZE","GLOBAL_STATS","USER_STATS","NOTES","AVG_COL_LEN","HISTOGRAM","SCOPE"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","DATE_MONTH",13,787A0501010101,787B0501010101,0,0769230769230769,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",8,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","CUS_ID",2880,C32935,C50946552B,0,000347222222222222,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",6,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","DUO_ID",2880,4445313030383038,4445444F58435F30323437323033,0,000347222222222222,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",10,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","ACCOUNT_AZ__C",2880,303031305730303030323634596274514145,303031643030303030324158526C76414148,0,000347222222222222,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",19,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","CAMPAIGN_ID_AZ__C",6,4861416F35,5A58485256,0,166666666666667,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",18,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","S_DCMP_DDIV_ID",6,4F4E4B4F5F4C554E475F544B49,5462445F5855707245,0,166666666666667,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",23,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","S_DCMP_PRD_ID",1,31303031353030,31303031353030,1,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",8,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","DPHS_ID",12,4861416F355F5031,5A584852565F5034,0,0833333333333333,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",21,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","S_CURRENT_STAGE_FLG",2,80,C102,0,5,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",3,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","START_DT",62,787A0502010101,787B0413010101,0,0161290322580645,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",8,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","END_DT",58,787A0902010101,78820C1F010101,0,0172413793103448,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",8,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","OC_BADGE_FLG",2,80,C102,0,5,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",3,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","DCMP_LINEAR_FLG",1,80,80,1,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",2,"NONE","SHARED"
"ADHOC","RUN_OMNI_ACC_ADOPTION_MONTH","OC_TG_FLG",2,80,C102,0,5,0,1,24.04.23,133473,"YES","NO","STATS_ON_LOAD ",3,"NONE","SHARED"
